_CustomObjectKey,CPF
2,00000048712
3,99998432049
4,00000355569
5,00000435325
6,00000573396
7,00000775932
8,00000786381
9,00001095765
10,00001154524
11,00001366629
12,00001533037
13,00001795589
14,00001930206
15,00002088258
16,99995638134
17,00002245370
18,00002268159
19,00002458799
20,99992906049
21,99992701072
22,00003384780
23,00003447294
24,00003479498
25,99991160353
26,00003576264
27,00003577740
28,00003602281
29,00003712206
30,00003792986
31,00003860221
32,99990253587
33,00004124227
34,99989859191
35,00004455339
36,00004744799
37,00004819390
38,99987309291
39,00005149266
40,00005243440
41,00005417376
42,99984989372
43,00005556902
44,00005571537
45,00005674697
46,99984628787
47,99983591200
48,00005786061
49,00005836344
50,00006131344
51,00006218547
52,00006260152
53,99981475220
54,99981440353
55,99981025020
56,00006586694
57,00006641385
58,00006832644
59,99980673320
60,99979888920
61,00007216629
62,00007275633
63,00007278497
64,00007414269
65,00007539207
66,99979438053
67,00007659377
68,99979136049
69,00007899254
70,00008021155
71,99977354804
72,00008134863
73,99976897120
74,99976897049
75,00008226989
76,99976293372
77,00008296766
78,00008330107
79,00008339759
80,00008473641
81,00008624283
82,00008728062
83,00008728143
84,00008765006
85,00008925054
86,00009037365
87,00009154329
88,00009158669
89,99975963668
90,00009579338
91,00009646116
92,00009785906
93,99970503553
94,99968673587
95,99968002372
96,00010306986
97,00010409602
98,00010580530
99,99966042253
100,00011151382
101,99965747172
102,00011167548
103,00011187301
104,00011269111
105,00011536500
106,00011610247
107,00011812206
108,00011888016
109,99964341253
110,99964228287
111,00012311545
112,00013076140
113,00013097148
114,99961504453
115,00013198173
116,00013273302
117,00013403281
118,99961237315
119,00013592157
120,99957566415
121,00014159210
122,00014196174
123,00014325756
124,00015068110
125,00015093140
126,99953072272
127,99950146372
128,99949270278
129,99949229391
130,99946963515
131,99946556049
132,99946491753
133,00015843327
134,99946190206
135,00015995500
136,00016083474
137,99941490082
138,00016262301
139,00016280032
140,00016290771
141,99938731520
142,99938545220
143,00016418328
144,00016692306
145,99938111653
146,00017032423
147,99936852591
148,00017386152
149,99935562204
150,00017537541
151,99935023320
152,99933551000
153,00017646405
154,00017668484
